file,sentence nr, sentence
archimob\archimob_1007.xml,73,und min maa han ich e gleert kenne daa im bi de schriinerii z roz het er sibeze jaar gschaffet
archimob\archimob_1007.xml,381,het er amig gsait i gots name und mir hend na wääred em chrieg afaa gschäfte
archimob\archimob_1007.xml,480,mììr hend ez aagfange gschäfte und de hesch ez scho allerlai du tuesch immer
archimob\archimob_1007.xml,681,me het ja de tiitsch öppen òü ghört und de hittler ghört lärme
archimob\archimob_1007.xml,830,die hend den nacher gsait ou wie scheen die hend do hier inne glèèrt schiifaare
archimob\archimob_1007.xml,960,aso ich me hets ja gsee choo ass fertig gaat
archimob\archimob_1008.xml,1191,ond d medie wärdid verukt schpile
archimob\archimob_1008.xml,1476,pensionierig cho be
archimob\archimob_1008.xml,1507,e son e gueti aadere ha da isch gse won e bi de landis und ghie gse be
archimob\archimob_1008.xml,1567,das isch so e schtori gse win ich vo chloten usecho be
archimob\archimob_1008.xml,1696,das i mi dureggsezt ha oder ich han en uftrag chönnen ärledigen will i furchtlos gse be
archimob\archimob_1008.xml,1702,ich chume ja mit dir cho rede
archimob\archimob_1044.xml,1200,und so wi s mer längt also verschtoo tue und für das tritt ich also ii he
archimob\archimob_1044.xml,1619,s hed dänn ghaisse mache si fänschter uuf aber die wo undedraa gsi sind am andere fänschter und so
archimob\archimob_1044.xml,2927,in däm sinn verwände aggtiv
archimob\archimob_1048.xml,60,alsoo orientiert er hät wän öppis nüüs chùù isch hät ers glueget verwürggliche
archimob\archimob_1048.xml,95,und dä händ sich d puure zämetue und händ sich aagfange weeren und und
archimob\archimob_1048.xml,596,nur uf glaris mǜsen iirugge sovil ich mììch mag erinnere
archimob\archimob_1048.xml,887,dän uf abe uf e flùgplaz und deet hät er dän mǜse waarte
archimob\archimob_1053.xml,485,und dernaa het die het me die hiender emorged üissglaa
archimob\archimob_1053.xml,555,aber das het me de äbe nid so gnöi gmacht drum sind s au immer wider cho luegen
archimob\archimob_1053.xml,832,aber es het däre sache ggä wo chleei risiko isch aber es het gsait mänge
